pn;nInstances;nResources;time;nRuns;median;std;bestgap;initialgap
a35g6;15;3;45;7;513.0;22.0745;1.65;0.47
a35g6;15;3;60;6;509.5;8.0166;-1.13;-1.42
a35g6;15;3;90;6;514.5;5.5287;-0.93;-0.93
a35g6;15;3;180;6;497.5;7.6942;-1.77;-3.48
a35g6;15;5;45;6;342.5;25.9416;11.76;22.63
a35g6;15;5;60;6;341.5;13.9952;15.73;23.52
a35g6;15;5;90;6;307.0;7.9099;5.23;13.66
a35g6;15;5;180;6;300.5;8.7807;4.92;11.59
a35g6;15;7;45;6;229.5;2.4833;-6.00;-8.43
a35g6;15;7;60;6;232.0;1.7512;-4.80;-4.60
a35g6;15;7;90;6;231.0;1.8619;-4.03;-2.81
a35g6;15;7;180;6;227.5;1.2111;-3.74;-2.08
a35g6;15;12;45;6;199.0;2.1602;-16.00;-40.02
a35g6;15;12;60;6;197.5;1.5166;-10.84;-40.87
a35g6;15;12;90;6;197.0;1.7607;-10.88;-41.17
a35g6;15;12;180;6;196.0;1.7224;-3.84;-41.27
a35g6;20;3;45;6;685.0;5.4559;-6.50;-0.31
a35g6;20;3;60;6;684.5;3.4448;-2.61;-1.13
a35g6;20;3;90;6;673.0;4.4572;-3.04;-1.84
a35g6;20;3;180;6;670.0;5.4283;-1.01;-2.38
a35g6;20;5;45;6;469.0;4.4907;11.90;24.58
a35g6;20;5;60;6;459.5;5.1251;15.34;23.27
a35g6;20;5;90;5;460.0;19.8570;18.72;24.29
a35g6;20;5;180;1;425.0;0.0000;6.52;19.38
a40g17AND;10;3;45;18;288.0;3.6010;1.91;2.05
a40g17AND;10;3;60;9;287.0;3.2956;2.96;3.79
a40g17AND;10;3;90;9;284.0;4.7639;2.26;2.34
a40g17AND;10;3;180;9;283.0;4.2947;2.77;3.14
a40g17AND;10;5;45;9;160.0;0.9280;4.57;3.45
a40g17AND;10;5;60;9;161.0;0.7071;7.27;6.32
a40g17AND;10;5;90;9;161.0;1.1304;7.04;6.73
a40g17AND;10;5;180;9;161.0;1.5000;7.95;7.70
a40g17AND;10;7;45;9;139.0;0.0000;-2.72;-2.57
a40g17AND;10;7;60;9;139.0;0.0000;-0.64;-1.73
a40g17AND;10;7;90;9;139.0;0.0000;-0.16;-1.11
a40g17AND;10;7;180;9;139.0;0.0000;0.32;0.32
a40g17AND;10;12;45;9;86.0;2.2361;-10.85;-11.84
a40g17AND;10;12;60;9;86.0;2.4552;-5.07;-9.02
a40g17AND;10;12;90;9;86.0;2.6822;-4.05;-2.86
a40g17AND;10;12;180;9;85.0;1.4142;-1.16;-1.29
a40g17AND;15;3;45;9;436.0;9.7340;1.28;1.33
a40g17AND;15;3;60;9;437.0;8.2006;2.33;2.97
a40g17AND;15;3;90;9;432.0;6.4765;2.13;1.76
a40g17AND;15;3;180;9;421.0;8.5505;1.56;1.43
a40g17AND;15;5;45;9;235.0;2.5221;-3.13;-3.44
a40g17AND;15;5;60;8;235.0;1.3025;-0.53;-1.83
a40g17AND;15;5;90;7;233.0;1.3973;-1.86;-0.55
a40g17AND;15;5;180;7;229.0;4.4987;-1.00;0.63
a40g17AND;15;7;45;7;210.0;4.1918;-8.36;-8.59
a40g17AND;15;7;60;7;207.0;7.4929;-5.27;-5.52
a40g17AND;15;7;90;7;194.0;3.6839;-6.23;-7.18
a40g17AND;15;7;180;7;194.0;0.0000;-5.69;-3.07
a40g17AND;15;12;45;7;120.0;0.7868;-24.05;-23.56
a40g17AND;15;12;60;7;120.0;1.4960;-19.94;-19.79
a40g17AND;15;12;90;7;117.0;0.4880;-13.45;-9.92
a40g17AND;15;12;180;7;109.0;2.3705;-12.24;-13.33
a40g17AND;20;3;45;7;572.0;10.0806;-2.75;-5.25
a40g17AND;20;3;60;7;574.0;11.4143;-1.59;-0.64
a40g17AND;20;3;90;7;574.0;10.0901;0.27;0.95
a40g17AND;20;3;180;7;562.0;5.2870;1.44;0.79
a40g17AND;20;5;45;7;309.0;6.4734;-11.66;-11.44
a40g17AND;20;5;60;7;301.0;3.9036;-10.31;-11.32
a40g17AND;20;5;90;7;301.0;2.4785;-7.24;-6.91
a40g17AND;20;5;180;7;298.0;1.5736;-4.00;-3.65
a40g17AND;20;7;45;7;286.0;3.4641;-12.39;-13.45
a40g17AND;20;7;60;7;283.0;5.7071;-10.93;-10.81
a40g17AND;20;7;90;7;274.0;3.4017;-7.88;-8.67
a40g17AND;20;7;180;7;250.0;3.4641;-9.68;-10.05
a40g17AND;20;12;45;7;155.0;1.2536;-27.80;-31.46
a40g17AND;20;12;60;7;155.0;2.6992;-27.90;-24.03
a40g17AND;20;12;90;7;152.0;1.9518;-21.66;-19.94
a40g17AND;20;12;180;7;146.0;1.4639;-17.60;-18.06
a40g17AND;25;3;45;7;714.0;7.6904;-7.29;-8.44
a40g17AND;25;3;60;4;719.0;7.0887;-1.87;-1.03
a40g17AND;25;3;90;2;716.5;14.8492;5.76;7.10
a40g17AND;25;3;180;2;696.0;0.0000;3.88;2.05
a40g17AND;25;5;45;2;395.0;5.6569;4.50;3.00
a40g17AND;25;5;60;2;379.0;5.6569;3.69;2.85
a40g17AND;25;5;90;2;371.0;5.6569;3.78;5.25
a40g17AND;25;5;180;2;364.0;0.0000;3.26;4.75
a40g17AND;25;7;45;2;365.0;0.0000;14.24;11.96
a40g17AND;25;7;60;2;362.0;4.2426;14.38;10.37
a40g17AND;25;7;90;2;351.5;6.3640;12.48;10.19
a40g17AND;25;7;180;2;335.0;4.2426;9.48;8.77
a40g17AND;25;12;45;2;186.0;1.4142;-13.69;-11.22
a40g17AND;25;12;60;2;186.5;3.5355;-10.98;-7.44
a40g17AND;25;12;90;2;181.5;0.7071;-7.40;-8.10
a40g17AND;25;12;180;2;177.0;1.4142;-4.32;-3.80
a42g11XOR;10;3;45;2;267.5;3.5355;2.49;1.52
a42g11XOR;10;3;60;2;267.0;7.0711;3.49;1.52
a42g11XOR;10;3;90;2;262.5;0.7071;2.14;0.19
a42g11XOR;10;3;180;2;261.5;3.5355;0.97;-0.38
a42g11XOR;10;5;45;2;137.5;2.1213;-0.36;0.73
a42g11XOR;10;5;60;2;137.0;1.4142;0.37;0.74
a42g11XOR;10;5;90;2;136.0;0.0000;0.74;0.00
a42g11XOR;10;5;180;2;137.0;0.0000;4.18;2.62
a42g11XOR;10;7;45;2;157.0;1.4142;-0.32;-24.52
a42g11XOR;10;7;60;2;159.5;4.9497;0.63;-23.32
a42g11XOR;10;7;90;2;158.0;7.0711;0.00;-24.04
a42g11XOR;10;7;180;2;152.5;0.7071;0.33;-26.68
a42g11XOR;10;12;45;2;109.5;0.7071;0.00;-2.67
a42g11XOR;10;12;60;2;109.5;0.7071;-0.45;-0.90
a42g11XOR;10;12;90;2;109.0;0.0000;0.00;0.00
a42g11XOR;10;12;180;2;109.5;0.7071;0.46;-0.45
a42g11XOR;15;3;45;2;445.0;7.0711;15.73;14.99
a42g11XOR;15;3;60;2;433.0;9.8995;12.61;11.89
a42g11XOR;15;3;90;2;435.5;0.7071;15.06;13.41
a42g11XOR;15;3;180;2;425.0;1.4142;12.29;11.99
a42g11XOR;15;5;45;2;199.0;8.4853;5.29;3.11
a42g11XOR;15;5;60;2;185.0;4.2426;-2.63;-1.86
a42g11XOR;15;5;90;2;191.0;0.0000;1.33;2.14
a42g11XOR;15;5;180;2;196.5;12.0208;7.38;6.50
a42g11XOR;15;7;45;2;235.5;19.0919;0.00;-22.28
a42g11XOR;15;7;60;2;221.0;1.4142;-0.45;-27.06
a42g11XOR;15;7;90;2;216.0;4.2426;-0.69;-28.71
a42g11XOR;15;7;180;2;216.0;2.8284;1.41;-28.71
a42g11XOR;15;12;45;2;157.5;0.7071;1.94;1.61
a42g11XOR;15;12;60;2;155.0;1.4142;0.65;0.00
a42g11XOR;15;12;90;2;154.0;0.0000;0.00;0.00
a42g11XOR;15;12;180;2;154.0;0.0000;0.00;0.00
a42g11XOR;20;3;45;2;609.0;1.4142;16.67;16.22
a42g11XOR;20;3;60;2;601.0;11.3137;17.38;16.25
a42g11XOR;20;3;90;2;595.5;2.1213;16.54;14.41
a42g11XOR;20;3;180;2;579.5;4.9497;14.98;13.74
a42g11XOR;20;5;45;2;273.0;18.3848;12.11;9.86
a42g11XOR;20;5;60;2;271.0;0.0000;11.29;13.15
a42g11XOR;20;5;90;2;257.0;1.4142;6.42;5.76
